Date,Adj Close,Close,High,Low,Open,Volume
6/3/2019,41.25,41.25,41.84999847,40.24000168,40.74399948,16605300
6/4/2019,42.75,42.75,42.88000107,40.70000076,42.56000137,23432100
6/5/2019,45,45,45.65999985,42.5,42.86999893,28609600
6/6/2019,44.91999817,44.91999817,45.75,44.27999878,45,16403700
6/7/2019,44.15999985,44.15999985,45.66999817,44.13000107,44.91999817,12654700
7/1/2019,44.27000046,44.27000046,47.04000092,44.06000137,46.97999954,17660500
7/2/2019,44,44,44.68000031,43.75,44.54999924,11881300
7/3/2019,44.22999954,44.22999954,44.45999908,43.79000092,44,3380000
7/5/2019,43.52999878,43.52999878,44.54999924,43.00999832,44.31000137,8239500
7/8/2019,42.95000076,42.95000076,43.84999847,42.75,43.59000015,9304100
7/9/2019,44.20000076,44.20000076,44.22999954,42.97999954,43.18000031,5251600
8/1/2019,41.31000137,41.31000137,42.5359993,41,42.13999939,7349700
8/2/2019,40.40000153,40.40000153,41.06000137,39.95000076,41.02999878,8225700
8/5/2019,39.04999924,39.04999924,39.41999817,38.43299866,39.34999847,9799300
8/6/2019,39.15000153,39.15000153,40.80799866,38.36000061,39.68000031,8570300
8/7/2019,39.70000076,39.70000076,39.99000168,38.31999969,39.06000137,8896000
8/8/2019,42.97000122,42.97000122,43,41.25,41.97999954,29610500
8/9/2019,40.04999924,40.04999924,40.68000031,38.70999908,39.56000137,35138800
9/3/2019,30.70000076,30.70000076,32.52999878,30.66500092,32.09999847,12154000
9/4/2019,31.98999977,31.98999977,32.36000061,30.85000038,30.90999985,10357600
9/5/2019,32.50999832,32.50999832,33.02999878,32.25,32.33000183,7933300
9/6/2019,31.86000061,31.86000061,32.74000168,31.40999985,32.70999908,7036000
9/9/2019,32.24000168,32.24000168,32.38999939,31.45999908,32.04999924,7448400
1/2/2020,30.98999977,30.98999977,31,29.79000092,29.94000053,20578900
1/3/2020,31.37000084,31.37000084,31.43000031,30.47999954,30.62000084,18822700
1/6/2020,31.57999992,31.57999992,32.06000137,31,31.01000023,21204700
1/7/2020,32.81000137,32.81000137,32.84000015,31.36000061,31.79000092,30119600
1/8/2020,33.93000031,33.93000031,34.52000046,32.45999908,32.72999954,43944400
1/9/2020,33.97000122,33.97000122,34.47000122,33.22000122,34.45000076,29385500
2/3/2020,37.59000015,37.59000015,37.63999939,36.52999878,36.75,23494600
2/4/2020,38.52999878,38.52999878,38.99000168,37.25999832,37.86999893,32425900
2/5/2020,36.81000137,36.81000137,38.97000122,36.73500061,38.88999939,38413300
2/6/2020,37.09000015,37.09000015,37.38999939,36.72999954,37.29999924,52699300
2/7/2020,40.63000107,40.63000107,41,38.86000061,39.97999954,112325800
3/2/2020,32.84999847,32.84999847,34.08000183,31.73999977,34.04999924,46662000
3/3/2020,33.04000092,33.04000092,34.18000031,31.89999962,34.02000046,35182400
3/4/2020,34.52999878,34.52999878,35.34000015,32.27999878,33.93000031,44738600
3/5/2020,32.20999908,32.20999908,33.56999969,31.96999931,33.47000122,32764500
3/6/2020,31.68000031,31.68000031,32.40999985,30.45000076,31.22999954,34808700
3/9/2020,28.17000008,28.17000008,30.31999969,28.14999962,28.5,37439200
4/1/2020,25.42000008,25.42000008,26.7670002,24.80999947,26.5,38538400
4/2/2020,23.68000031,23.68000031,25.20000076,23,25.01000023,35838200
4/3/2020,22.81999969,22.81999969,23.79000092,21.67000008,23.72999954,40572000
4/6/2020,25.98999977,25.98999977,26.09000015,23.93000031,24.12999916,34692600
4/7/2020,25.73999977,25.73999977,28.11000061,25.5,27.95000076,36433800
4/8/2020,26.94000053,26.94000053,27.87800026,25.79000092,26,36166900
4/9/2020,27.11000061,27.11000061,28.88999939,26.45999908,27.87999916,36190200
5/1/2020,28.38999939,28.38999939,29.71999931,28.32500076,29.12999916,19290200
5/4/2020,27.42000008,27.42000008,28.06999969,26.57999992,27.55999947,23428300
5/5/2020,28.06999969,28.06999969,28.9090004,27.44000053,28.25,30725400
5/6/2020,27.81999969,27.81999969,28.05999947,26.80999947,27.5,31076500
5/7/2020,30.93000031,30.93000031,31.64999962,29.57999992,29.60000038,62229500
5/8/2020,32.79000092,32.79000092,33.29999924,31.63999939,32.59000015,69458100
6/1/2020,35.81999969,35.81999969,36.38999939,35.15999985,35.63999939,21893800
6/2/2020,35.81000137,35.81000137,36.41999817,35.25999832,36.15999985,19328400
6/3/2020,36.75,36.75,37.36800003,36.13999939,36.20000076,23051800
6/4/2020,36.43000031,36.43000031,37.29999924,36.27999878,36.41999817,17423600
6/5/2020,37.20999908,37.20999908,38.78300095,36.91999817,37.52999878,30393400
6/8/2020,37.08000183,37.08000183,37.90000153,36.09000015,37.86999893,30099500
6/9/2020,36.59000015,36.59000015,37.33000183,36.25,36.70000076,15127300
7/1/2020,30.43000031,30.43000031,31.26499939,30.16200066,30.95999908,13611500
7/2/2020,30.68000031,30.68000031,31.56999969,30.51000023,31.02000046,14981100
7/6/2020,32.52000046,32.52000046,33.20000076,31.76000023,33.09999847,42392200
7/7/2020,32.81999969,32.81999969,33.56000137,32.38999939,32.45999908,34874700
7/8/2020,33.93000031,33.93000031,33.97000122,32.68000031,33.20999908,24602400
7/9/2020,33.15000153,33.15000153,34.45999908,32.25999832,34.24000168,25061800
8/3/2020,31.19000053,31.19000053,31.29500008,30.05999947,30.23999977,17078900
8/4/2020,32.68000031,32.68000031,32.84500122,31.17000008,31.17000008,21958100
8/5/2020,33.20000076,33.20000076,33.31999969,32.5,33.09999847,16987800
8/6/2020,34.70999908,34.70999908,34.79499817,33.20999908,33.27000046,38601500
8/7/2020,32.90000153,32.90000153,33.70000076,32.45000076,33.09000015,39071200
9/1/2020,34.29999924,34.29999924,34.50999832,33.14500046,33.45000076,16013900
9/2/2020,34.36999893,34.36999893,34.50500107,33.29000092,34.20999908,16552700
9/3/2020,33.40999985,33.40999985,34.74000168,32.95000076,34.08000183,17288800
9/4/2020,33.24000168,33.24000168,33.65000153,31.54999924,33.33000183,17480600
9/8/2020,34.31999969,34.31999969,35.09999847,32.15999985,32.36000061,33683500
9/9/2020,35.00999832,35.00999832,35.5,34.11000061,34.11000061,22803500
1/4/2021,51.13999939,51.13999939,52.31999969,49.63499832,52.22000122,17291800
1/5/2021,54.00999832,54.00999832,54.18999863,50.75999832,51,21403200
1/6/2021,52.47999954,52.47999954,54.06999969,52,53.31000137,17738100
1/7/2021,56.13000107,56.13000107,56.25,53.20000076,53.36999893,23737500
1/8/2021,53.27999878,53.27999878,54.79000092,52.58000183,54.39500046,37999400
2/1/2021,52.75999832,52.75999832,52.90000153,51.34999847,52.11999893,15570900
2/2/2021,56.45999908,56.45999908,58.02999878,54.88999939,55.11000061,30286800
2/3/2021,57.11999893,57.11999893,58.13000107,56.74000168,57.86999893,13519000
2/4/2021,57.84999847,57.84999847,57.84999847,56.11000061,56.45000076,13841600
2/5/2021,58.58000183,58.58000183,58.70800018,57.36999893,58.15999985,15729200
2/8/2021,59.29000092,59.29000092,60.11000061,58.68999863,59.70000076,18403700
2/9/2021,59.61000061,59.61000061,61.06000137,58.61999893,58.90999985,23510700
3/1/2021,54.40000153,54.40000153,54.75999832,53.29999924,53.66999817,18481100
3/2/2021,54.65000153,54.65000153,55.61999893,54.18899918,55.54000092,15199500
3/3/2021,56.11000061,56.11000061,57.79999924,54.65000153,55.93000031,28485400
3/4/2021,53.06999969,53.06999969,57.15999985,51.61000061,55.75,27409600
3/5/2021,55.54000092,55.54000092,55.83000183,50.81000137,54.27999878,31576200
3/8/2021,53.20000076,53.20000076,56.45000076,52.88999939,55.5,19912100
3/9/2021,55.25,55.25,56.15000153,54.72000122,56,17192900
4/1/2021,57.59999847,57.59999847,57.63000107,54.81000137,55.61000061,18703400
4/5/2021,57.40000153,57.40000153,58.41999817,56.63999939,58.09999847,13490200
4/6/2021,58.04999924,58.04999924,58.99000168,57.15999985,57.34000015,13579200
4/7/2021,56.88999939,56.88999939,58.13000107,55.95000076,58.02000046,12921900
4/8/2021,57.83000183,57.83000183,57.93999863,56.54000092,56.65000153,9498500
4/9/2021,57.68000031,57.68000031,57.88000107,56.40000153,57.31999969,10228500
5/3/2021,54.84999847,54.84999847,56.13000107,54.84000015,55.11999893,13903300
5/4/2021,52.99000168,52.99000168,54.72000122,52.00999832,54.52000046,19336600
5/5/2021,51.18000031,51.18000031,54.06999969,50.63000107,53.86999893,43970500
5/6/2021,46.65000153,46.65000153,49.81000137,45.72000122,48.38999939,79242400
5/7/2021,47.02999878,47.02999878,48.59999847,46.53499985,47.22000122,27933900
6/1/2021,50.97999954,50.97999954,51.65999985,49.84000015,51.61999893,16583800
6/2/2021,50.79000092,50.79000092,51.40999985,50.54999924,51.18999863,13484200
6/3/2021,48.70000076,48.70000076,50.5,48.52999878,50.43000031,14712900
6/4/2021,50.18000031,50.18000031,50.22000122,49.06999969,49.56000137,10409800
6/7/2021,50.75999832,50.75999832,51.22000122,49.75,50.49000168,16466200
6/8/2021,49.88000107,49.88000107,51.40000153,48.65999985,50.70000076,19672700
6/9/2021,49.13999939,49.13999939,50.16999817,49.11000061,50,12615200
7/1/2021,50.59000015,50.59000015,51.59999847,50.02000046,50.88000107,17727600
7/2/2021,51.70999908,51.70999908,51.82500076,50.38999939,50.56999969,13690400
7/6/2021,50.79999924,50.79999924,52.02999878,50.40000153,50.59999847,21357800
7/7/2021,48.68000031,48.68000031,51.02999878,48.54000092,50.79999924,24559500
7/8/2021,47.54999924,47.54999924,48.20999908,46.56999969,47.15999985,24930200
7/9/2021,49.06999969,49.06999969,49.25,47.70999908,47.84000015,15401000
8/2/2021,43.49000168,43.49000168,44.29000092,43.44499969,44.09999847,26579900
8/3/2021,42.79000092,42.79000092,43.68000031,41.61999893,43.56000137,37622200
8/4/2021,41.81000137,41.81000137,42.81999969,41.36999893,42.70000076,42969100
8/5/2021,43.06999969,43.06999969,44.65000153,40.15000153,40.5,60871500
8/6/2021,44.27999878,44.27999878,44.93500137,43.65000153,43.74000168,25514900
8/9/2021,43.25,43.25,44.27000046,43.20999908,44.18999863,19238400
9/1/2021,40.61999893,40.61999893,41.66500092,39.86999893,39.97999954,27788600
9/2/2021,41.40000153,41.40000153,41.86000061,40.53699875,40.75,20645400
9/3/2021,40.31999969,40.31999969,41.57500076,40.22999954,41.22000122,15444900
9/7/2021,40.95000076,40.95000076,41.08000183,40.31000137,40.49000168,15708600
9/8/2021,40.06999969,40.06999969,41.34000015,39.83000183,40.84999847,16219900
9/9/2021,40.34999847,40.34999847,40.95000076,39.84000015,40.09999847,14260300
1/3/2022,43.95000076,43.95000076,44.40499878,41.88999939,42.47999954,26089000
1/4/2022,44.41999817,44.41999817,44.79999924,42.58000183,44.22999954,30845300
1/5/2022,43.24000168,43.24000168,45.90000153,42.86000061,44.29000092,28498700
1/6/2022,42.02999878,42.02999878,44.08000183,40.97000122,43.11000061,32434300
1/7/2022,41.50999832,41.50999832,42.65000153,41.20000076,42,24875800
2/1/2022,38.61000061,38.61000061,38.70500183,37.20000076,37.63000107,19669900
2/2/2022,37.16999817,37.16999817,38.61999893,37.02999878,38.52999878,19591100
2/3/2022,34.54000092,34.54000092,36.74000168,34.29999924,36.08000183,32192100
2/4/2022,37.04999924,37.04999924,37.35499954,34.36000061,35,33082100
2/7/2022,37.54000092,37.54000092,39.04999924,36.98500061,36.98500061,30303200
2/8/2022,38.34000015,38.34000015,38.56999969,36.95000076,37.25,25857600
2/9/2022,40.18999863,40.18999863,40.40000153,38.15999985,38.81000137,52614100
3/1/2022,33.88999939,33.88999939,35.59999847,33.65000153,35.45000076,31436200
3/2/2022,34.04000092,34.04000092,34.22000122,32.97000122,34,26112500
3/3/2022,31.71999931,31.71999931,34.29100037,31.41500092,34.22000122,38337600
3/4/2022,29.82999992,29.82999992,31.72999954,29.27000046,31.5,52098700
3/7/2022,28.56999969,28.56999969,31.93799973,28.54999924,31.47999954,60265800
3/8/2022,30.73999977,30.73999977,31.56999969,28.27799988,28.51000023,55014700
3/9/2022,31.5,31.5,32.72999954,31.20000076,31.75,33734500
4/1/2022,35.97999954,35.97999954,36.47999954,35.40000153,35.68000031,16793300
4/4/2022,36.50999832,36.50999832,36.93000031,36.21500015,36.40000153,20217800
4/5/2022,34.95999908,34.95999908,36.61000061,34.72000122,36.34999847,20984200
4/6/2022,33.40999985,33.40999985,34,32.54999924,33.85499954,28854800
